id,name,origin_date,first_order_date_1,churned_date,saas_contract_duration,saas_contract_total_value_in_usd
4,Company D,2021-01-31,2021-01-01,2021-11-23,12,3000
8,Company H,2021-04-01,2021-04-11,2021-12-31,12,2200
13,Company M,2021-12-11,,,12,3000
12,Company L,2021-11-01,,,12,4500
14,Company N,2021-12-05,,,12,1000
1,Company A,2021-01-15,2021-02-01,2022-02-11,14,14000
6,Company F,2021-02-01,2021-02-01,,18,1500
5,Company E,2021-02-01,2021-02-01,,24,2000
3,Company C,2021-01-21,2021-02-22,,24,1100
2,Company B,2021-01-11,2021-02-05,,24,2000
10,Company J,2021-09-01,,,24,4000
9,Company I,2021-07-01,,,36,3400
11,Company K,2021-10-01,,,36,5000
7,Company G,2021-03-01,2021-05-01,,60,5000